上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/27
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00980B","台新特選IG債10+","9.31","+0.01","9.30","9.33","9.30","178,000","1,657,700","25","9.31","154","9.32","247","71,569,000","9,999.95","0.01"
"00980D","主動聯博投等入息","20.44","+0.04","20.43","20.45","20.43","2,434,000","49,761,750","204","20.43","830","20.44","148","75,457,000","9,999.95","0.01"
"00980T","平衡凱基美國TOP","10.08","+0.07","10.04","10.09","10.03","32,732,000","329,288,590","2,301","10.07","1,197","10.08","1,027","172,418,000","9,999.95","0.01"
"00981B","第一金優選非投債","9.21","+0.04","9.19","9.22","9.19","9,211,000","84,808,360","730","9.21","2,197","9.22","3,288","546,613,000","9,999.95","0.01"
"00982B","FT投資級債20+","9.67","+0.02","9.71","9.71","9.67","28,000","270,880","13","9.67","5","9.68","76","39,400,000","9,999.95","0.01"
"00983B","大華優利美公債20","15.26","+0.07","15.25","15.27","15.25","3,707,000","56,564,110","36","15.24","772","15.26","808","33,153,000","9,999.95","0.01"
"00984B","大華優利美A債15","15.94","+0.06","15.93","15.95","15.90","3,884,000","61,853,490","50","15.92","100","15.93","200","41,933,000","9,999.95","0.01"
"1240","茂生農經","65.80","+0.70","65.50","65.90","65.10","123,000","8,036,800","70","65.60","1","65.90","4","41,338,666","64.80","53.10"
"1259","安心","58.40","+0.20","58.40","58.40","58.40","1,000","58,400","1","58.20","1","58.50","1","32,389,500","64.20","52.60"
"1264","德麥","302.00","0.00","302.00","302.00","302.00","1,000","302,000","1","302.50","2","303.00","1","37,052,367","332.00","272.00"
"1268","漢來美食","161.00","0.00","161.00","161.50","161.00","29,000","4,675,500","25","160.50","9","161.50","1","42,223,730","177.00","145.00"
"1294","漢田生技","78.70","0.00","78.50","78.70","78.50","3,000","235,800","3","77.60","1","78.50","2","31,027,563","86.50","70.90"
"1295","生合","133.50","+3.00","130.00","141.50","130.00","2,867,000","386,851,000","1,740","133.50","20","134.00","28","34,474,800","146.50","120.50"
"1336","台翰","17.50","+0.35","17.20","17.65","17.20","354,000","6,174,900","212","17.45","33","17.50","2","77,614,419","19.25","15.75"
"1565","精華","148.50","-0.50","149.00","150.00","147.50","264,000","39,242,500","215","148.50","1","149.00","11","50,416,516","163.00","134.00"
"1569","濱川","58.00","+1.00","57.90","60.00","57.30","4,554,000","266,555,400","2,757","57.90","50","58.00","1","121,447,441","63.80","52.20"
"1570","力肯","20.95","+0.10","20.85","21.15","20.55","196,000","4,091,900","74","20.95","1","21.05","1","51,500,839","23.00","18.90"
"1580","新麥","137.00","+2.00","135.00","137.50","135.00","45,000","6,156,500","39","136.50","2","137.00","1","50,230,242","150.50","123.50"
"1584","精剛","25.45","+0.40","25.25","25.85","25.20","2,346,000","59,969,150","1,154","25.45","11","25.50","9","232,470,533","27.95","22.95"
"1586","和勤","29.75","+0.05","29.90","30.30","29.55","420,000","12,551,500","222","29.75","1","29.80","2","106,849,467","32.70","26.80"
"1591","駿吉-KY","47.40","+1.25","46.15","48.00","46.15","150,000","7,072,850","83","46.60","1","47.50","4","38,048,047","52.10","42.70"
"1593","祺驊","32.05","+0.05","32.00","32.10","31.95","18,000","576,250","14","32.05","1","32.10","1","39,784,772","35.25","28.85"
"1595","川寶","37.10","+0.05","37.75","38.85","37.10","264,000","10,009,200","205","37.05","6","37.20","3","54,151,980","40.80","33.40"
"1599","宏佳騰","32.00","+0.50","31.75","32.00","31.70","6,000","190,900","6","31.35","1","31.60","1","74,528,764","35.20","28.80"
"1742","台蠟","15.05","+0.05","15.05","15.05","15.05","1,000","15,050","1","14.80","1","15.10","3","92,671,300","16.55","13.55"
"1777","生泰","75.70","+0.10","75.60","75.90","75.10","31,000","2,339,400","27","75.60","1","75.80","2","44,591,713","83.20","68.20"
"1781","合世","13.90","+0.25","13.70","14.20","13.65","116,000","1,623,800","72","13.90","1","13.95","2","47,407,605","15.25","12.55"
"1784","訊聯","77.90","0.00","78.00","79.80","77.90","494,000","38,962,000","281","77.90","4","78.00","1","53,121,191","85.60","70.20"
"1785","光洋科","54.80","+0.50","54.70","55.00","54.40","2,834,000","154,986,300","1,522","54.70","33","54.80","73","596,071,243","60.20","49.35"
"1788","杏昌","139.50","+0.50","139.00","139.50","138.50","12,000","1,666,000","12","139.00","9","139.50","4","44,520,971","153.00","126.00"
"1796","金穎生技","55.60","+5.00","53.10","55.60","52.70","315,000","17,349,800","194","55.60","45","0.00","0","41,459,793","61.10","50.10"
"1799","易威","46.25","+0.45","45.90","46.75","45.80","194,000","8,974,200","116","46.30","2","46.60","3","124,689,527","50.80","41.65"
"1813","寶利徠","14.60","+0.10","14.60","14.60","14.60","6,000","87,600","6","14.55","3","14.60","1","46,635,510","16.05","13.15"
"1815","富喬","70.60","+4.10","68.00","72.40","68.00","22,832,000","1,618,678,300","12,180","70.60","15","70.70","69","520,871,783","77.60","63.60"
"02001B","統一美國政府債N","8.59","0.00","8.59","8.59","8.59","5,000","42,950","1","8.60","116","8.61","140","20,000,000","9,999.95","0.01"
"2035","唐榮","28.60","-0.25","28.05","28.60","27.50","23,000","638,500","20","27.65","2","28.65","1","350,000,000","31.45","25.75"
"2061","風青","17.70","+0.15","17.55","17.90","17.50","35,000","618,300","25","17.70","4","17.75","1","57,378,052","19.45","15.95"
"2063","世鎧","27.00","0.00","27.00","27.10","26.95","34,000","917,850","18","27.00","5","27.10","1","48,101,453","29.70","24.30"
"2064","晉椿","13.70","0.00","13.65","13.70","13.65","3,000","41,000","2","13.65","2","13.75","1","69,330,000","15.05","12.35"
"2065","世豐","31.95","-0.40","31.80","32.05","31.80","80,000","2,553,850","45","31.95","4","32.00","1","63,516,707","35.10","28.80"
"2066","世德","69.80","+0.10","70.80","72.20","69.50","88,000","6,193,700","73","69.80","3","70.00","1","44,449,527","76.70","62.90"
"2067","嘉鋼","7.52","-0.40","7.90","7.90","7.50","47,000","358,090","31","7.54","1","7.82","1","45,138,177","8.27","6.77"
"2070","精湛","45.00","+1.15","43.90","45.00","43.90","130,000","5,805,650","109","44.80","2","45.00","2","35,782,800","49.50","40.50"
"2073","雄順","27.85","-0.20","27.85","27.85","27.85","7,000","194,950","1","27.15","1","29.80","1","27,500,000","30.60","25.10"
"2221","大甲","28.00","-0.50","28.55","28.55","28.00","50,000","1,413,200","31","28.00","4","28.30","3","42,325,000","30.80","25.20"
"2230","泰茂","103.50","+5.50","99.00","105.00","99.00","842,000","86,532,700","567","103.00","13","104.00","10","68,029,605","113.50","93.20"
"2235","謚源","36.20","0.00","36.25","36.25","36.20","2,000","72,450","2","36.15","1","36.50","1","35,878,000","39.80","32.60"
"2596","綠意","30.75","+0.05","30.80","31.10","30.65","39,000","1,200,900","31","30.75","1","30.95","2","100,000,000","33.80","27.70"
"2640","大車隊","129.50","0.00","130.00","130.00","129.00","80,000","10,376,000","30","129.50","1","130.00","6","59,264,956","142.00","117.00"
"2641","正德","20.95","+0.30","20.90","21.20","20.85","3,290,000","69,097,200","1,353","20.90","84","20.95","36","318,501,987","23.00","18.90"
"2643","捷迅","70.00","+0.10","69.90","70.00","69.40","14,000","976,400","14","69.60","3","69.80","1","35,000,000","77.00","63.00"
"2718","全心投控","59.10","+0.10","58.80","59.30","58.80","152,000","8,976,200","95","59.00","3","59.10","4","87,576,000","61.60","50.50"
"2719","燦星旅","37.40","-0.60","38.00","38.00","37.40","24,000","904,550","19","37.40","1","37.65","1","68,969,500","41.10","33.70"
"2724","藝舍-KY","19.00","+0.20","19.75","19.75","18.25","34,000","639,400","19","18.55","1","19.35","1","59,656,345","20.90","17.10"
"2726","雅茗-KY","18.15","0.00","17.90","18.50","17.85","34,000","616,450","29","17.95","2","18.15","3","27,922,454","19.95","16.35"
"2729","瓦城","190.50","-0.50","191.00","191.50","190.50","13,000","2,481,000","12","191.50","1","192.00","1","43,413,783","209.50","171.50"
"2732","六角","74.40","-0.10","74.50","74.90","74.30","27,000","2,012,000","23","74.30","4","74.50","1","46,518,570","81.80","67.00"
"2734","易飛網","20.10","+0.15","20.00","20.10","19.90","124,000","2,481,300","63","20.00","3","20.10","16","57,259,760","22.10","18.10"
"2736","富野","14.95","-0.10","15.05","15.05","14.95","97,000","1,454,550","58","14.95","13","15.00","3","59,972,230","16.40","13.50"
"2740","天蔥","27.80","-0.05","27.50","27.80","26.95","7,000","192,250","3","27.00","1","28.05","1","13,952,016","30.55","25.05"
"2743","山富","108.00","+1.00","107.00","109.00","106.00","301,000","32,443,000","191","107.50","31","108.00","5","36,011,700","118.50","97.20"
"2745","五福","112.00","-1.00","114.00","114.00","112.00","202,000","22,828,000","170","112.00","24","112.50","4","33,808,526","123.00","101.00"
"2751","王座","71.50","+0.40","71.50","71.50","71.00","36,000","2,563,700","28","71.20","1","71.50","5","19,618,000","77.00","63.10"
