"110年06月27日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","1,408,134,906","6,549,161","4,259",
"2.台灣存託憑證","6,003,000","2,001,000","2,001",
"3.受益憑證","0","0","0",
"4.ETF","22,569,902","194,343","112",
"5.受益證券","0","0","0",
"6.變更交易股票","0","0","0",
"7.認購(售)權證","2,329,960","5,060,000","64",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","0","0","0",
"14.創新板股票","1,803,779,350","34,659,000","3,404",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","3,211,914,256","41,208,161","7,663",
"總計(1~15)","3,242,817,118","48,463,504","9,840",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,328(200)","420(24)",
"下跌(跌停)","4,707(32)","415(0)",
"持平","836","107",
"未成交","10,333","3",
"無比價","2,167","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"110年06月27日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1219","福壽","0","0","0","--","--","--","--"," ","0.00","--","5","--","19","13.26",
"1220","台榮","0","0","0","--","--","--","--"," ","0.00","16.75","3","--","25","13.02",
"1225","福懋油","0","0","0","--","--","--","--"," ","0.00","--","15","--","1","20.24",
"1227","佳格","0","0","0","--","--","--","--"," ","0.00","51.00","57","58.40","15","15.59",
"1229","聯華","0","0","0","--","--","--","--"," ","0.00","--","9","--","55","15.49",
"1231","聯華食","0","0","0","--","--","--","--"," ","0.00","66.70","3","--","11","15.19",
"1232","大統益","0","0","0","--","--","--","--"," ","0.00","--","15","--","4","17.60",
"1233","天仁","0","0","0","--","--","--","--"," ","0.00","--","1","--","2","47.95",
"1234","黑松","4,060","7","145,904","35.95","35.95","35.95","35.95","+","0.50","35.00","9","--","20","15.77",
"1235","興泰","0","0","0","--","--","--","--"," ","0.00","--","1","--","1","49.34",
"1236","宏亞","0","0","0","--","--","--","--"," ","0.00","--","2","--","10","35.57",
"1256","鮮活果汁-KY","0","0","0","--","--","--","--"," ","0.00","--","1","--","2","15.50",
"1301","台塑","35,000","34","3,692,000","101.50","107.00","101.50","107.00","+","3.00","101.50","5","--","209","19.24",
"1303","南亞","31,220","35","2,823,986","90.40","91.30","90.30","91.30","+","8.30","88.20","62","--","2","17.10",
"1304","台聚","7","1","226","--","--","--","--"," ","0.00","--","13","--","33","11.18",
"1305","華夏","0","0","0","--","--","--","--"," ","0.00","--","325","--","4","9.41",
"1307","三芳","0","0","0","--","--","--","--"," ","0.00","--","4","--","51","29.38",
"1308","亞聚","0","0","0","--","--","--","--"," ","0.00","--","287","--","4","12.90",
"1309","台達化","15,000","2","636,750","42.45","42.45","42.45","42.45"," ","0.00","--","1","--","49","6.45",
"1310","台苯","0","0","0","--","--","--","--"," ","0.00","--","48","--","25","12.58",
"1312","國喬","0","0","0","--","--","--","--"," ","0.00","31.95","168","--","77","4.46",
"1312A","國喬特","0","0","0","--","--","--","--"," ","0.00","--","2","--","4","0.00",
"1313","聯成","2,000","2","52,150","26.05","26.10","26.05","26.10","+","0.10","--","264","--","68","7.91",
"1314","中石化","35,010","9","434,628","12.50","12.50","12.20","12.20","-","1.35","--","371","12.20","1,004","29.76",
"1315","達新","0","0","0","--","--","--","--"," ","0.00","--","8","--","3","1.87",
"1316","上曜","0","0","0","--","--","--","--"," ","0.00","--","26","--","17","39.68",
"1319","東陽","0","0","0","--","--","--","--"," ","0.00","--","17","--","27","29.70",
"1321","大洋","0","0","0","--","--","--","--"," ","0.00","--","4","--","1","12.77",
"1323","永裕","0","0","0","--","--","--","--"," ","0.00","--","1","--","26","11.16",
"1324","地球","0","0","0","--","--","--","--"," ","0.00","--","13","--","1","157.14",
"1325","恆大","0","0","0","--","--","--","--"," ","0.00","--","7","--","2","3.75",
"1326","台化","24,050","25","2,052,330","85.40","85.40","84.70","84.70","+","0.10","84.50","23","85.00","1","13.38",
"1337","再生-KY","0","0","0","--","--","--","--"," ","0.00","--","10","--","5","0.00",
"1338","廣華-KY","0","0","0","--","--","--","--"," ","0.00","--","4","--","1","13.08",
"1339","昭輝","0","0","0","--","--","--","--"," ","0.00","--","1","--","1","27.66",
"1340","勝悅-KY","0","0","0","--","--","--","--"," ","0.00","--","13","--","10","0.00",
"1341","富林-KY","0","0","0","--","--","--","--"," ","0.00","--","2","--","1","11.34",
"1342","八貫","0","0","0","--","--","--","--"," ","0.00","--","4","--","2","19.89",
"1402","遠東新","29,010","30","934,199","32.20","32.35","32.00","32.35","+","0.60","--","39","34.90","214","18.70",
"1409","新纖","2,000","2","46,200","23.10","23.10","23.10","23.10","+","1.15","19.80","596","--","22","10.60",
"1410","南染","0","0","0","--","--","--","--"," ","0.00","--","1","--","2","36.46",
"1413","宏洲","0","0","0","--","--","--","--"," ","0.00","--","9","--","16","0.00",
"1414","東和","0","0","0","--","--","--","--"," ","0.00","--","31","--","8","39.09",
"1416","廣豐","0","0","0","--","--","--","--"," ","0.00","--","12","--","15","0.00",
"1417","嘉裕","0","0","0","--","--","--","--"," ","0.00","--","20","--","4","0.00",
"1418","東華","0","0","0","--","--","--","--"," ","0.00","--","2","--","1","0.00",
"1419","新紡","0","0","0","--","--","--","--"," ","0.00","--","4","--","2","29.78",
"1423","利華","0","0","0","--","--","--","--"," ","0.00","--","2","--","16","7.36",
"1432","大魯閣","0","0","0","--","--","--","--"," ","0.00","--","1","--","14","72.11",
"1434","福懋","1,000","1","33,600","33.60","33.60","33.60","33.60","+","1.00","33.20","9","34.00","16","24.35",
"1435","中福","0","0","0","--","--","--","--"," ","0.00","--","2","--","1","0.00",
"1436","華友聯","0","0","0","--","--","--","--"," ","0.00","--","1","--","7","16.91",
"1437","勤益控","0","0","0","--","--","--","--"," ","0.00","--","8","--","1","11.19",
"1438","三地開發","0","0","0","--","--","--","--"," ","0.00","--","21","--","2","0.00",
"1439","中和","0","0","0","--","--","--","--"," ","0.00","--","2","--","2","0.00",
"1440","南紡","0","0","0","--","--","--","--"," ","0.00","--","117","--","19","23.09",
"1441","大東","0","0","0","--","--","--","--"," ","0.00","--","57","--","26","0.00",
"1442","名軒","0","0","0","--","--","--","--"," ","0.00","--","9","--","17","51.35",
"1443","立益","0","0","0","--","--","--","--"," ","0.00","--","10","--","20","0.00",
"1444","力麗","0","0","0","--","--","--","--"," ","0.00","--","196","--","117","0.00",
"1445","大宇","0","0","0","--","--","--","--"," ","0.00","--","2","--","19","0.00",
"1446","宏和","0","0","0","--","--","--","--"," ","0.00","--","2","--","1","349.44",
"1447","力鵬","0","0","0","--","--","--","--"," ","0.00","--","202","--","161","0.00",
"1449","佳和","0","0","0","--","--","--","--"," ","0.00","--","2","--","1","0.00",
"1451","年興","0","0","0","--","--","--","--"," ","0.00","--","3","--","5","0.00",
