"109年06月18日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="00669R","國泰美國道瓊反1","8,133,000","974","92,830,350","11.37","11.47","11.35","11.40","+","0.10","11.39","18","11.40","106","0.00",
="00670L","富邦NASDAQ正2","1,176,000","289","59,497,900","50.90","51.15","50.15","50.85","-","0.10","50.85","325","50.95","202","0.00",
="00671R","富邦NASDAQ反1","5,097,000","318","44,610,780","8.75","8.81","8.72","8.74","-","0.01","8.74","333","8.75","400","0.00",
="00672L","元大S&P原油正2","11,567,000","761","26,660,350","2.30","2.31","2.30","2.31","-","0.02","2.30","1,887","2.31","238","0.00",
="00673R","元大S&P原油反1","592,000","144","19,523,600","33.14","33.24","32.80","32.82","-","0.14","32.82","83","32.85","22","0.00",
="00674R","元大S&P黃金反1","130,000","30","1,832,230","14.12","14.12","14.08","14.09","-","0.03","14.09","5","14.10","10","0.00",
="00675L","富邦臺灣加權正2","371,000","185","7,222,760","19.54","19.66","19.23","19.55","+","0.12","19.52","250","19.55","1","0.00",
="00676R","富邦臺灣加權反1","2,548,000","350","15,055,650","5.91","5.95","5.89","5.89","-","0.03","5.89","1,306","5.91","1,085","0.00",
="00677U","富邦VIX","330,829,000","24,425","2,247,812,660","6.73","6.90","6.70","6.80","+","0.13","6.80","2,573","6.81","504","0.00",
="00678","群益NBI生技","698,000","42","17,690,810","25.50","25.50","25.24","25.37","-","0.07","25.36","1","25.37","46","0.00",
="00680L","元大美債20正2","698,000","42","21,666,870","31.00","31.12","30.84","30.87","+","0.19","30.87","63","30.94","15","0.00",
="00681R","元大美債20反1","0","0","0","--","--","--","--"," ","0.00","12.85","135","12.89","105","0.00",
="00682U","元大美元指數","2,000","2","38,880","19.43","19.45","19.43","19.45","+","0.03","19.44","1","19.45","19","0.00",
="00683L","元大美元指數正2","314,000","71","6,031,110","19.21","19.25","19.14","19.14","-","0.07","19.14","9","19.22","1","0.00",
="00684R","元大美元指數反1","1,000","1","18,350","18.35","18.35","18.35","18.35","+","0.01","18.31","1","18.35","19","0.00",
="00685L","群益臺灣加權正2","10,000","8","167,420","16.79","16.86","16.62","16.79","+","0.12","16.59","10","16.77","71","0.00",
="00686R","群益臺灣加權反1","109,000","29","703,160","6.44","6.49","6.43","6.44","-","0.02","6.44","92","6.45","30","0.00",
="00688L","國泰20年美債正2","105,000","7","3,287,420","31.16","31.34","31.16","31.34","+","0.36","31.27","25","31.34","12","0.00",
="00689R","國泰20年美債反1","109,000","4","1,434,440","13.15","13.18","13.15","13.18","-","0.06","13.16","50","13.18","22","0.00",
="00690","兆豐藍籌30","36,000","26","831,200","23.17","23.17","23.06","23.17","+","0.04","23.12","100","23.17","100","0.00",
="00691R","兆豐藍籌30反1","0","0","0","--","--","--","--"," ","0.00","13.10","1","13.14","100","0.00",
="00692","富邦公司治理","2,431,000","572","55,933,010","23.02","23.08","22.92","23.05","+","0.03","23.03","20","23.05","20","0.00",
="00693U","街口S&P黃豆","1,235,000","367","17,454,610","14.15","14.16","14.11","14.14","+","0.03","14.13","59","14.14","331","0.00",
="00700","富邦恒生國企","111,000","7","2,047,280","18.40","18.45","18.38","18.45","-","0.01","18.43","15","18.50","1","0.00",
="00701","國泰股利精選30","943,000","489","19,635,780","20.88","20.88","20.78","20.83","-","0.05","20.82","36","20.83","1","0.00",
="00702","國泰標普低波高息","84,000","50","1,397,300","16.72","16.72","16.59","16.70","-","0.30","16.70","2","16.74","25","0.00",
="00703","台新MSCI中國","194,000","66","4,141,880","21.21","21.47","21.21","21.42","+","0.13","21.40","4","21.42","1","0.00",
="00706L","元大S&P日圓正2","28,000","13","488,110","17.44","17.47","17.39","17.42","+","0.13","17.41","71","17.45","10","0.00",
="00707R","元大S&P日圓反1","1,000","1","19,410","19.41","19.41","19.41","19.41","-","0.09","19.39","5","19.42","60","0.00",
="00708L","元大S&P黃金正2","1,272,000","343","34,910,870","27.47","27.52","27.40","27.47","+","0.01","27.47","13","27.49","13","0.00",
="00709","富邦歐洲","119,000","8","2,260,600","18.88","19.02","18.83","19.02"," ","0.00","18.96","10","19.02","25","0.00",
="00710B","FH彭博高收益債","169,000","59","3,162,180","18.75","18.76","18.66","18.68","-","0.05","18.69","2","18.70","11","0.00",
="00711B","FH彭博新興債","128,000","9","2,777,870","21.71","21.71","21.70","21.71","+","0.05","21.69","14","21.71","10","0.00",
="00712","FH富時不動產","4,285,000","1,111","46,907,950","11.00","11.07","10.91","11.05","-","0.08","11.05","77","11.06","48","0.00",
="00713","元大台灣高息低波","50,000","34","1,574,890","31.48","31.56","31.45","31.52","+","0.19","31.52","23","31.54","11","0.00",
="00714","群益道瓊美國地產","333,000","91","6,283,190","18.96","18.98","18.80","18.93","-","0.33","18.92","8","18.93","28","0.00",
="00715L","街口布蘭特油正2","9,205,000","1,386","56,917,160","6.12","6.23","6.12","6.23"," ","0.00","6.22","80","6.23","186","0.00",
="00717","富邦美國特別股","683,000","91","11,316,230","16.55","16.58","16.55","16.58","+","0.03","16.57","11","16.58","136","0.00",
="00728","第一金工業30","367,000","33","7,276,050","20.12","20.12","19.80","19.86","+","0.02","19.86","34","19.88","5","0.00",
="00730","富邦臺灣優質高息","374,000","110","6,412,630","17.16","17.20","17.10","17.17","+","0.01","17.16","10","17.19","1","0.00",
="00731","FH富時高息低波","1,007,000","19","46,059,990","45.64","45.78","45.64","45.76","-","0.07","45.80","158","45.83","1","0.00",
="00732","國泰RMB短期報酬","100,000","2","3,761,000","37.61","37.61","37.61","37.61","+","0.01","37.58","10","37.65","12","0.00",
="00733","富邦臺灣中小","300,000","43","6,630,640","21.98","22.15","21.82","22.15","+","0.32","22.09","1","22.15","1","0.00",
="00735","國泰臺韓科技","125,000","14","2,587,770","20.70","20.77","20.62","20.74","+","0.01","20.74","1","20.75","22","0.00",
="00736","國泰新興市場","171,000","13","3,118,500","18.24","18.33","18.21","18.33","+","0.02","18.33","18","18.35","20","0.00",
="00737","國泰AI+Robo","294,000","133","6,764,940","23.14","23.14","22.92","23.07","-","0.06","23.06","7","23.07","44","0.00",
="00738U","元大道瓊白銀","2,278,000","255","43,817,040","19.24","19.32","19.20","19.27","+","0.13","19.26","680","19.27","52","0.00",
="00739","元大MSCI A股","640,000","92","13,576,070","21.26","21.31","21.10","21.28","+","0.16","21.28","19","21.31","27","0.00",
="00742","新光內需收益","200,000","4","4,198,000","20.99","20.99","20.99","20.99"," ","0.00","20.98","120","20.99","55","0.00",
="00743","國泰中國A150","45,000","17","945,680","20.87","21.12","20.86","21.11","+","0.29","21.12","20","21.19","2","0.00",
="00752","中信中國50","1,879,000","611","46,175,520","24.60","24.65","24.46","24.58","+","0.13","24.57","20","24.58","12","0.00",
="00753L","中信中國50正2","1,205,000","150","31,241,020","26.00","26.25","25.74","26.15","+","0.42","26.10","1","26.13","23","0.00",
="00757","統一FANG+","260,000","51","7,788,710","29.99","30.05","29.88","30.00","+","0.04","29.98","59","30.00","3","0.00",
="00762","元大全球AI","419,000","79","11,694,540","28.08","28.08","27.83","28.00","-","0.04","27.99","4","28.00","1","0.00",
="00763U","街口道瓊銅","41,000","8","722,260","17.56","17.66","17.56","17.65","+","0.16","17.62","156","17.65","23","0.00",
="00766L","台新MSCI中國正2","449,000","37","4,208,630","9.31","9.48","9.30","9.43","+","0.09","9.41","25","9.43","28","0.00",
="00770","國泰北美科技","390,000","60","10,526,200","27.20","27.20","26.92","27.10","-","0.13","27.09","1","27.10","49","0.00",
="00771","元大US高息特別股","7,000","6","131,300","18.76","18.76","18.74","18.74"," ","0.00","18.74","6","18.76","6","0.00",
="00774B","新光中國政金綠債","332,000","112","12,887,920","38.82","38.82","38.66","38.66","-","0.16","38.66","1","38.75","3","0.00",
="00774C","新光中政金綠債+R","0","0","0","--","--","--","--"," ","0.00","9.20","5","9.23","5","0.00",
="00775B","新光投等債15+","188,000","1","8,582,200","45.65","45.65","45.65","45.65"," ","0.00","45.70","1","46.14","9","0.00",
="00776","新光ICE美國權值","0","0","0","--","--","--","--"," ","0.00","20.29","10","20.82","1","0.00",
="00783","富邦中証500","930,000","43","17,562,700","18.83","18.92","18.79","18.89","+","0.09","18.88","30","18.89","1","0.00",
="008201","BP上證50","100","1","9,950","99.50","99.50","99.50","99.50","X","0.00","98.95","53","100.50","5","0.00",
="00830","國泰費城半導體","1,161,000","295","21,478,560","18.56","18.59","18.41","18.53","+","0.07","18.52","2","18.53","48","0.00",
="00850","元大臺灣ESG永續","2,452,000","1,097","54,684,120","22.34","22.39","22.23","22.34"," ","0.00","22.33","34","22.34","106","0.00",
="00851","台新全球AI","31,000","13","728,960","23.53","23.59","23.43","23.59","+","0.08","23.57","1","23.59","19","0.00",
="00852L","國泰美國道瓊正2","25,557,000","2,490","314,088,140","12.38","12.43","12.17","12.35","-","0.25","12.33","800","12.35","2","0.00",
="00861","元大全球未來通訊","3,805,000","1,278","81,309,920","21.42","21.45","21.27","21.40","-","0.02","21.40","53","21.42","32","0.00",
="00865B","國泰US短期公債","195,000","12","7,631,470","39.09","39.16","39.08","39.12"," ","0.00","39.12","112","39.16","1","0.00",
="00866","新光Shiller CAPE","26,000","2","494,520","19.02","19.02","19.02","19.02","-","0.15","19.03","15","19.07","30","0.00",
="00875","國泰網路資安","1,310,000","372","32,420,310","24.72","24.86","24.63","24.81","+","0.12","24.80","5","24.81","7","0.00",
="01001T","土銀富邦R1","35,000","3","584,500","16.70","16.70","16.70","16.70","X","0.00","16.70","79","16.75","2","0.00",
="01002T","土銀國泰R1","182,000","5","3,099,380","17.03","17.03","17.01","17.01","+","0.01","17.01","1","17.02","3","0.00",
