"112年03月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="00700","富邦恒生國企","260,323","1,032","3,336,791","12.65","13.19","12.65","13.07","+","0.21","13.07","5","13.11","24","0.00",
="00701","國泰股利精選30","1,257,351","1,186","28,100,772","22.40","22.41","22.25","22.36","-","0.12","22.36","1","22.37","119","0.00",
="00702","國泰標普低波高息","148,506","23","3,152,759","21.30","21.30","21.20","21.22","-","0.10","21.17","10","21.22","6","0.00",
="00703","台新MSCI中國","202,000","28","3,299,120","15.97","16.47","15.97","16.44","+","0.26","16.42","1","16.43","6","0.00",
="00706L","期元大S&P日圓正2","3,861,417","761","36,720,839","9.55","9.55","9.49","9.51","-","0.23","9.50","94","9.51","444","0.00",
="00707R","期元大S&P日圓反1","50,000","11","1,225,800","24.43","24.60","24.43","24.53","+","0.31","24.53","1","24.58","20","0.00",
="00708L","期元大S&P黃金正2","771,238","170","18,861,042","24.35","24.55","24.33","24.55","+","0.19","24.55","55","24.56","21","0.00",
="00709","富邦歐洲","53,881","1,015","1,295,662","24.07","24.07","24.02","24.02","-","0.04","24.04","30","24.07","9","0.00",
="00710B","FH彭博非投等債","280,423","118","4,996,473","17.78","17.84","17.78","17.82","+","0.04","17.81","12","17.82","9","0.00",
="00711B","FH彭博新興債","122,422","690","1,953,333","15.97","15.97","15.95","15.97"," ","0.00","15.96","1","15.97","4","0.00",
="00712","FH富時不動產","18,079,050","8,022","187,473,549","10.45","10.45","10.35","10.39","-","0.13","10.38","258","10.39","67","0.00",
="00713","元大台灣高息低波","7,318,425","5,425","286,135,528","39.24","39.25","38.88","39.17","-","0.09","39.16","3","39.17","189","0.00",
